Posição;Código IBGE;Município;Unidade federativa;População
1º;3550308;São Paulo; São Paulo;12 325 232
2º;3304557;Rio de Janeiro; Rio de Janeiro;6 747 815
3º;5300108;Brasília; Distrito Federal;3 055 149
4º;2927408;Salvador; Bahia;2 886 698
5º;2304400;Fortaleza; Ceará;2 686 612
6º;3106200;Belo Horizonte; Minas Gerais;2 521 564
7º;1302603;Manaus; Amazonas;2 219 580
8º;4106902;Curitiba; Paraná;1 948 626
9º;2611606;Recife; Pernambuco;1 653 461
10º;5208707;Goiânia; Goiás;1 536 097
11º;1501402;Belém; Pará;1 499 641
12º;4314902;Porto Alegre; Rio Grande do Sul;1 488 252
13º;3518800;Guarulhos; São Paulo;1 392 121
14º;3509502;Campinas; São Paulo;1 213 792
15º;2111300;São Luís; Maranhão;1 108 975
16º;3304904;São Gonçalo; Rio de Janeiro;1 091 737
17º;2704302;Maceió; Alagoas;1 025 360
18º;3301702;Duque de Caxias; Rio de Janeiro;924 624
19º;5002704;Campo Grande; Mato Grosso do Sul;906 092
20º;2408102;Natal; Rio Grande do Norte;890 480
21º;2211001;Teresina; Piauí;868 075
22º;3548708;São Bernardo do Campo; São Paulo;844 483
23º;3303500;Nova Iguaçu; Rio de Janeiro;823 302
24º;2507507;João Pessoa; Paraíba;817 511
25º;3549904;São José dos Campos; São Paulo;729 737
26º;3547809;Santo André; São Paulo;721 368
27º;3543402;Ribeirão Preto; São Paulo;711 825
28º;2607901;Jaboatão dos Guararapes; Pernambuco;706 867
29º;3534401;Osasco; São Paulo;699 944
30º;3170206;Uberlândia; Minas Gerais;699 097
31º;3552205;Sorocaba; São Paulo;687 357
32º;3118601;Contagem; Minas Gerais;668 949
33º;2800308;Aracaju; Sergipe;664 908
34º;2910800;Feira de Santana; Bahia;619 609
35º;5103403;Cuiabá; Mato Grosso;618 124
36º;4209102;Joinville; Santa Catarina;597 658
37º;5201405;Aparecida de Goiânia; Goiás;590 146
38º;4113700;Londrina; Paraná;575 377
39º;3136702;Juiz de Fora; Minas Gerais;573 285
40º;1100205;Porto Velho; Rondônia;539 354
41º;1500800;Ananindeua; Pará;535 547
42º;3205002;Serra; Espírito Santo;527 240
43º;4305108;Caxias do Sul; Rio Grande do Sul;517 451
44º;3303302;Niterói; Rio de Janeiro;515 317
45º;3300456;Belford Roxo; Rio de Janeiro;513 118
46º;1600303;Macapá; Amapá;512 902
47º;3301009;Campos dos Goytacazes; Rio de Janeiro;511 168
48º;4205407;Florianópolis; Santa Catarina;508 826
49º;3205200;Vila Velha; Espírito Santo;501 325
50º;3529401;Mauá; São Paulo;477 552
51º;3305109;São João de Meriti; Rio de Janeiro;472 906
52º;3549805;São José do Rio Preto; São Paulo;464 983
53º;3530607;Mogi das Cruzes; São Paulo;450 785
54º;3106705;Betim; Minas Gerais;444 784
55º;3548500;Santos; São Paulo;433 656
56º;4115200;Maringá; Paraná;430 157
57º;3513801;Diadema; São Paulo;426 757
58º;3525904;Jundiaí; São Paulo;423 006
59º;1400100;Boa Vista; Roraima;419 652
60º;3143302;Montes Claros; Minas Gerais;413 487
61º;1200401;Rio Branco; Acre;413 418
62º;2504009;Campina Grande; Paraíba;411 807
63º;3538709;Piracicaba; São Paulo;407 252
64º;3510609;Carapicuíba; São Paulo;403 183
65º;2609600;Olinda; Pernambuco;393 115
66º;5201108;Anápolis; Goiás;391 772
67º;3201308;Cariacica; Espírito Santo;383 917
68º;3506003;Bauru; São Paulo;379 297
69º;3523107;Itaquaquecetuba; São Paulo;375 011
70º;3551009;São Vicente; São Paulo;368 355
71º;3205309;Vitória; Espírito Santo;365 855
72º;2604106;Caruaru; Pernambuco;365 278
73º;2303709;Caucaia; Ceará;365 212
74º;4202404;Blumenau; Santa Catarina;361 855
75º;3516200;Franca; São Paulo;355 901
76º;4119905;Ponta Grossa; Paraná;355 336
77º;2611101;Petrolina; Pernambuco;354 317
78º;4304606;Canoas; Rio Grande do Sul;348 208
79º;4314407;Pelotas; Rio Grande do Sul;343 132
80º;2933307;Vitória da Conquista; Bahia;341 128
81º;3154606;Ribeirão das Neves; Minas Gerais;338 197
82º;3170107;Uberaba; Minas Gerais;337 092
83º;2610707;Paulista; Pernambuco;334 376
84º;4104808;Cascavel; Paraná;332 333
85º;3541000;Praia Grande; São Paulo;330 845
86º;4125506;São José dos Pinhais; Paraná;329 058
87º;3518701;Guarujá; São Paulo;322 750
88º;3554102;Taubaté; São Paulo;317 915
89º;3526902;Limeira; São Paulo;308 482
90º;3303906;Petrópolis; Rio de Janeiro;306 678
91º;1506807;Santarém; Pará;306 480
92º;1721000;Palmas; Tocantins;306 296
93º;2905701;Camaçari; Bahia;304 302
94º;2408003;Mossoró; Rio Grande do Norte;300 618
95º;3552502;Suzano; São Paulo;300 559
96º;3552809;Taboão da Serra; São Paulo;293 652
97º;5108402;Várzea Grande; Mato Grosso;287 526
98º;3552403;Sumaré; São Paulo;286 211
99º;4316907;Santa Maria; Rio Grande do Sul;283 677
100º;4309209;Gravataí; Rio Grande do Sul;283 620
101º;1504208;Marabá; Pará;283 542
102º;3127701;Governador Valadares; Minas Gerais;281 046
103º;3505708;Barueri; São Paulo;276 982
104º;3515004;Embu das Artes; São Paulo;276 535
105º;2307304;Juazeiro do Norte; Ceará;276 264
106º;3306305;Volta Redonda; Rio de Janeiro;273 988
107º;2403251;Parnamirim; Rio Grande do Norte;267 036
108º;3131307;Ipatinga; Minas Gerais;265 409
109º;3302403;Macaé; Rio de Janeiro;261 501
110º;2105302;Imperatriz; Maranhão;259 337
111º;4108304;Foz do Iguaçu; Paraná;258 248
112º;4323002;Viamão; Rio Grande do Sul;256 302
113º;3520509;Indaiatuba; São Paulo;256 223
114º;3548906;São Carlos; São Paulo;254 484
115º;3513009;Cotia; São Paulo;253 608
116º;4216602;São José; Santa Catarina;250 181
117º;4313409;Novo Hamburgo; Rio Grande do Sul;247 032
118º;4105805;Colombo; Paraná;246 540
119º;3302502;Magé; Rio de Janeiro;246 433
120º;3301900;Itaboraí; Rio de Janeiro;242 543
121º;3501608;Americana; São Paulo;242 018
122º;3167202;Sete Lagoas; Minas Gerais;241 835
123º;5218805;Rio Verde; Goiás;241 518
124º;3522505;Itapevi; São Paulo;240 961
125º;3529005;Marília; São Paulo;240 590
126º;3122306;Divinópolis; Minas Gerais;240 408
127º;4318705;São Leopoldo; Rio Grande do Sul;238 648
128º;3503208;Araraquara; São Paulo;238 339
129º;5107602;Rondonópolis; Mato Grosso;236 042
130º;3524402;Jacareí; São Paulo;235 416
131º;3519071;Hortolândia; São Paulo;234 259
132º;2700300;Arapiraca; Alagoas;233 047
133º;3300704;Cabo Frio; Rio de Janeiro;230 378
134º;3541406;Presidente Prudente; São Paulo;230 371
135º;2307650;Maracanaú; Ceará;229 458
136º;5003702;Dourados; Mato Grosso do Sul;225 495
137º;4204202;Chapecó; Santa Catarina;224 013
138º;4208203;Itajaí; Santa Catarina;223 112
139º;3157807;Santa Luzia; Minas Gerais;220 444
140º;2918407;Juazeiro; Bahia;218 162
141º;5200258;Águas Lindas de Goiás; Goiás;217 698
142º;4204608;Criciúma; Santa Catarina;217 311
143º;2914802;Itabuna; Bahia;213 685
144º;1505536;Parauapebas; Pará;213 576
145º;4315602;Rio Grande; Rio Grande do Sul;211 965
146º;5212501;Luziânia; Goiás;211 508
147º;4300604;Alvorada; Rio Grande do Sul;211 352
148º;2312908;Sobral; Ceará;210 711
149º;3201209;Cachoeiro de Itapemirim; Espírito Santo;210 589
150º;2602902;Cabo de Santo Agostinho; Pernambuco;208 944
151º;3543907;Rio Claro; São Paulo;208 008
152º;3300100;Angra dos Reis; Rio de Janeiro;207 044
153º;4314100;Passo Fundo; Rio Grande do Sul;204 722
154º;1502400;Castanhal; Pará;203 251
155º;2919207;Lauro de Freitas; Bahia;201 635
156º;3502804;Araçatuba; São Paulo;198 129
157º;3515707;Ferraz de Vasconcelos; São Paulo;196 500
158º;3545803;Santa Bárbara d'Oeste; São Paulo;194 390
159º;3303401;Nova Friburgo; Rio de Janeiro;191 158
160º;2804805;Nossa Senhora do Socorro; Sergipe;185 706
161º;3300407;Barra Mansa; Rio de Janeiro;184 833
162º;3305802;Teresópolis; Rio de Janeiro;184 240
163º;1702109;Araguaína; Tocantins;183 381
164º;4109401;Guarapuava; Paraná;182 644
165º;3129806;Ibirité; Minas Gerais;182 153
166º;4208906;Jaraguá do Sul; Santa Catarina;181 173
167º;2111201;São José de Ribamar; Maranhão;179 028
168º;3522208;Itapecerica da Serra; São Paulo;177 662
169º;3516309;Francisco Morato; São Paulo;177 633
170º;3203205;Linhares; Espírito Santo;176 688
171º;3302858;Mesquita; Rio de Janeiro;176 569
172º;3523909;Itu; São Paulo;175 568
173º;4211900;Palhoça; Santa Catarina;175 272
174º;5221858;Valparaíso de Goiás; Goiás;172 135
175º;3507605;Bragança Paulista; São Paulo;170 533
176º;2112209;Timon; Maranhão;170 222
177º;3538006;Pindamonhangaba; São Paulo;170 132
178º;3151800;Poços de Caldas; Minas Gerais;168 641
179º;3522307;Itapetininga; São Paulo;165 526
180º;2103000;Caxias; Maranhão;165 525
181º;3302700;Maricá; Rio de Janeiro;164 504
182º;3303203;Nilópolis; Rio de Janeiro;162 693
183º;2931350;Teixeira de Freitas; Bahia;162 438
184º;3548807;São Caetano do Sul; São Paulo;161 957
185º;2913606;Ilhéus; Bahia;159 923
186º;1500107;Abaetetuba; Pará;159 080
187º;2603454;Camaragibe; Pernambuco;158 899
188º;4209300;Lages; Santa Catarina;157 349
189º;2903201;Barreiras; Bahia;156 975
190º;3516408;Franco da Rocha; São Paulo;156 492
191º;4118204;Paranaguá; Paraná;156 174
192º;2918001;Jequié; Bahia;156 126
193º;3304524;Rio das Ostras; Rio de Janeiro;155 193
194º;3148004;Patos de Minas; Minas Gerais;153 585
195º;2207702;Parnaíba; Piauí;153 482
196º;3530706;Mogi Guaçu; São Paulo;153 033
197º;3152501;Pouso Alegre; Minas Gerais;152 549
198º;2900702;Alagoinhas; Bahia;152 327
199º;3525300;Jaú; São Paulo;151 881
200º;3304144;Queimados; Rio de Janeiro;151 335
201º;2925303;Porto Seguro; Bahia;150 658
202º;3507506;Botucatu; São Paulo;148 130
203º;4101804;Araucária; Paraná;146 214
204º;5107909;Sinop; Mato Grosso;146 005
205º;4202008;Balneário Camboriú; Santa Catarina;145 796
206º;3504107;Atibaia; São Paulo;144 088
207º;4127700;Toledo; Paraná;142 645
208º;3547304;Santana de Parnaíba; São Paulo;142 301
209º;4320008;Sapucaia do Sul; Rio Grande do Sul;141 808
210º;3168606;Teófilo Otoni; Minas Gerais;140 937
211º;2606002;Garanhuns; Pernambuco;140 577
212º;2616407;Vitória de Santo Antão; Pernambuco;139 583
213º;1502103;Cametá; Pará;139 364
214º;3105608;Barbacena; Minas Gerais;138 204
215º;4202909;Brusque; Santa Catarina;137 689
216º;2513703;Santa Rita; Paraíba;137 349
217º;3156700;Sabará; Minas Gerais;137 125
218º;3170701;Varginha; Minas Gerais;136 602
219º;4101408;Apucarana; Paraná;136 234
220º;2930709;Simões Filho; Bahia;135 783
221º;3503307;Araras; São Paulo;135 506
222º;3302007;Itaguaí; Rio de Janeiro;134 819
223º;3300209;Araruama; Rio de Janeiro;134 293
224º;4104204;Campo Largo; Paraná;133 865
225º;1504422;Marituba; Pará;133 685
226º;4119152;Pinhais; Paraná;133 490
227º;2304202;Crato; Ceará;133 031
228º;3204906;São Mateus; Espírito Santo;132 642
229º;3304201;Resende; Rio de Janeiro;132 312
230º;1507300;São Félix do Xingu; Pará;132 138
231º;3513504;Cubatão; São Paulo;131 626
232º;4316808;Santa Cruz do Sul; Rio Grande do Sul;131 365
233º;4303103;Cachoeirinha; Rio Grande do Sul;131 240
234º;3556206;Valinhos; São Paulo;131 210
235º;2306405;Itapipoca; Ceará;130 539
236º;2307700;Maranguape; Ceará;130 346
237º;1100122;Ji-Paraná; Rondônia;130 009
238º;5221403;Trindade; Goiás;129 823
239º;3171204;Vespasiano; Minas Gerais;129 765
240º;3118304;Conselheiro Lafaiete; Minas Gerais;129 606
241º;1501709;Bragança; Pará;128 914
242º;3551702;Sertãozinho; São Paulo;127 142
243º;1501303;Barcarena; Pará;127 027
244º;4322400;Uruguaiana; Rio Grande do Sul;126 866
245º;3202405;Guarapari; Espírito Santo;126 701
246º;3525003;Jandira; São Paulo;126 356
247º;3506508;Birigui; São Paulo;124 883
248º;4101507;Arapongas; Paraná;124 810
249º;3543303;Ribeirão Pires; São Paulo;124 159
250º;2107506;Paço do Lumiar; Maranhão;123 747
251º;5208004;Formosa; Goiás;123 684
252º;3557006;Votorantim; São Paulo;123 599
253º;3201506;Colatina; Espírito Santo;123 400
254º;3510500;Caraguatatuba; São Paulo;123 389
255º;5008305;Três Lagoas; Mato Grosso do Sul;123 281
256º;2103307;Codó; Maranhão;123 116
257º;1600600;Santana; Amapá;123 096
258º;3556503;Várzea Paulista; São Paulo;123 071
259º;3554003;Tatuí; São Paulo;122 967
260º;3505500;Barretos; São Paulo;122 833
261º;3523404;Itatiba; São Paulo;122 581
262º;3518404;Guaratinguetá; São Paulo;122 505
263º;3511102;Catanduva; São Paulo;122 497
264º;4302105;Bento Gonçalves; Rio Grande do Sul;121 803
265º;4301602;Bagé; Rio Grande do Sul;121 335
266º;3131703;Itabira; Minas Gerais;120 904
267º;4100400;Almirante Tamandaré; Paraná;120 041
268º;3545209;Salto; São Paulo;119 736
269º;2924009;Paulo Afonso; Bahia;118 516
270º;5220454;Senador Canedo; Goiás;118 451
271º;2606804;Igarassu; Pernambuco;118 370
272º;3539806;Poá; São Paulo;118 349
273º;3103504;Araguari; Minas Gerais;117 825
274º;5215231;Novo Gama; Goiás;117 703
275º;3169901;Ubá; Minas Gerais;116 797
276º;1500602;Altamira; Pará;115 969
277º;1303403;Parintins; Amazonas;115 363
278º;3147907;Passos; Minas Gerais;115 337
279º;1508100;Tucuruí; Pará;115 144
280º;4119509;Piraquara; Paraná;114 970
281º;1505502;Paragominas; Pará;114 503
282º;2910727;Eunápolis; Bahia;114 396
283º;3534708;Ourinhos; São Paulo;114 352
284º;2613701;São Lourenço da Mata; Pernambuco;114 079
285º;2100055;Açailândia; Maranhão;113 121
286º;4128104;Umuarama; Paraná;112 500
287º;5003207;Corumbá; Mato Grosso do Sul;112 058
288º;3536505;Paulínia; São Paulo;112 003
289º;5205109;Catalão; Goiás;110 983
290º;3119401;Coronel Fabriciano; Minas Gerais;110 290
291º;2612505;Santa Cruz do Capibaribe; Pernambuco;109 897
292º;1100023;Ariquemes; Rondônia;109 523
293º;3143906;Muriaé; Minas Gerais;109 392
294º;1507953;Tailândia; Pará;108 969
295º;2510808;Patos; Paraíba;108 192
296º;4103701;Cambé; Paraná;107 341
297º;3104007;Araxá; Minas Gerais;107 337
298º;4307005;Erechim; Rio Grande do Sul;106 633
299º;4218707;Tubarão; Santa Catarina;106 422
300º;3305208;São Pedro da Aldeia; Rio de Janeiro;106 049
301º;5211503;Itumbiara; Goiás;105 809
302º;5107958;Tangará da Serra; Mato Grosso;105 711
303º;3302270;Japeri; Rio de Janeiro;105 548
304º;3145208;Nova Serrana; Minas Gerais;105 520
305º;3134202;Ituiutaba; Minas Gerais;105 255
306º;2803500;Lagarto; Sergipe;105 221
307º;3504008;Assis; São Paulo;105 087
308º;2101202;Bacabal; Maranhão;104 790
309º;3138203;Lavras; Minas Gerais;104 783
310º;3526704;Leme; São Paulo;104 346
311º;3302205;Itaperuna; Rio de Janeiro;103 800
312º;2412005;São Gonçalo do Amarante; Rio Grande do Norte;103 672
313º;1501808;Breves; Pará;103 497
314º;3522109;Itanhaém; São Paulo;103 102
315º;3200607;Aracruz; Espírito Santo;103 101
316º;2305506;Iguatu; Ceará;103 074
317º;3509007;Caieiras; São Paulo;102 775
318º;1301902;Itacoatiara; Amazonas;102 701
319º;2928703;Santo Antônio de Jesus; Bahia;102 380
320º;1100304;Vilhena; Rondônia;102 211
321º;5211909;Jataí; Goiás;102 065
322º;4107652;Fazenda Rio Grande; Paraná;102 004
323º;3528502;Mairiporã; São Paulo;101 937
324º;1503606;Itaituba; Pará;101 395
325º;3300308;Barra do Piraí; Rio de Janeiro;100 764
326º;2600054;Abreu e Lima; Pernambuco;100 346
327º;1302504;Manacapuru; Amazonas;98 502
328º;4309308;Guaíba; Rio Grande do Sul;98 239
329º;4126256;Sarandi; Paraná;97 803
330º;2607208;Ipojuca; Pernambuco;97 669
331º;3132404;Itajubá; Minas Gerais;97 334
332º;2932903;Valença; Bahia;97 233
333º;2501807;Bayeux; Paraíba;97 203
334º;3144805;Nova Lima; Minas Gerais;96 157
335º;2802908;Itabaiana; Sergipe;96 142
336º;2101400;Balsas; Maranhão;95 929
337º;4104303;Campo Mourão; Paraná;95 488
338º;3557105;Votuporanga; São Paulo;95 338
339º;3508504;Caçapava; São Paulo;95 018
340º;5102504;Cáceres; Mato Grosso;94 861
341º;3147105;Pará de Minas; Minas Gerais;94 808
342º;3522406;Itapeva; São Paulo;94 804
343º;5006606;Ponta Porã; Mato Grosso do Sul;93 937
344º;3147006;Paracatu; Minas Gerais;93 862
345º;3133808;Itaúna; Minas Gerais;93 847
346º;3530805;Mogi Mirim; São Paulo;93 650
347º;5204508;Caldas Novas; Goiás;93 196
348º;5107925;Sorriso; Mato Grosso;92 769
349º;3113404;Caratinga; Minas Gerais;92 603
350º;4108403;Francisco Beltrão; Paraná;92 216
351º;3550605;São Roque; São Paulo;92 060
352º;3555406;Ubatuba; São Paulo;91 824
353º;3549102;São João da Boa Vista; São Paulo;91 771
354º;3148103;Patrocínio; Minas Gerais;91 449
355º;3504503;Avaré; São Paulo;91 232
356º;3139409;Manhuaçu; Minas Gerais;91 169
357º;3503901;Arujá; São Paulo;91 157
358º;2806701;São Cristóvão; Sergipe;91 093
359º;5217609;Planaltina; Goiás;90 640
360º;3305505;Saquarema; Rio de Janeiro;90 583
361º;3168705;Timóteo; Minas Gerais;90 568
362º;3162500;São João del-Rei; Minas Gerais;90 497
363º;3550704;São Sebastião; São Paulo;90 328
364º;2919553;Luís Eduardo Magalhães; Bahia;90 162
365º;2109908;Santa Inês; Maranhão;89 489
366º;3527207;Lorena; São Paulo;89 125
367º;1200203;Cruzeiro do Sul; Acre;89 072
368º;4118402;Paranavaí; Paraná;88 922
369º;2101608;Barra do Corda; Maranhão;88 492
370º;2311306;Quixadá; Ceará;88 321
371º;1709500;Gurupi; Tocantins;87 545
372º;2906501;Candeias; Bahia;87 458
373º;2613909;Serra Talhada; Pernambuco;86 915
374º;1301209;Coari; Amazonas;85 910
375º;1100049;Cacoal; Rondônia;85 893
376º;1506138;Redenção; Pará;85 563
377º;3509601;Campo Limpo Paulista; São Paulo;85 541
378º;4215802;São Bento do Sul; Santa Catarina;85 421
379º;4203204;Camboriú; Santa Catarina;85 105
380º;4311403;Lajeado; Rio Grande do Sul;85 033
381º;3170404;Unaí; Minas Gerais;84 930
382º;2911709;Guanambi; Bahia;84 928
383º;2601102;Araripina; Pernambuco;84 864
384º;2606408;Gravatá; Pernambuco;84 699
385º;2309706;Pacatuba; Ceará;84 554
386º;2604007;Carpina; Pernambuco;84 395
387º;4118501;Pato Branco; Paraná;83 843
388º;4105508;Cianorte; Paraná;83 816
389º;2108603;Pinheiro; Maranhão;83 777
390º;4310207;Ijuí; Rio Grande do Sul;83 764
391º;3529302;Matão; São Paulo;83 626
392º;4211306;Navegantes; Santa Catarina;83 626
393º;4307708;Esteio; Rio Grande do Sul;83 279
394º;1504703;Moju; Pará;83 182
395º;3305554;Seropédica; Rio de Janeiro;83 092
396º;3513405;Cruzeiro; São Paulo;82 571
397º;2910057;Dias d'Ávila; Bahia;82 432
398º;3306008;Três Rios; Rio de Janeiro;82 142
399º;4303004;Cachoeira do Sul; Rio Grande do Sul;81 869
400º;2407104;Macaíba; Rio Grande do Norte;81 821
401º;2311405;Quixeramobim; Ceará;81 778
402º;2930501;Serrinha; Bahia;81 286
403º;2301000;Aquiraz; Ceará;80 935
404º;2917508;Jacobina; Bahia;80 635
405º;3120904;Curvelo; Minas Gerais;80 616
406º;3101607;Alfenas; Minas Gerais;80 494
407º;3136207;João Monlevade; Minas Gerais;80 416
408º;2103208;Chapadinha; Maranhão;80 195
409º;3556701;Vinhedo; São Paulo;80 111
410º;2606200;Goiana; Pernambuco;80 055
411º;4319901;Sapiranga; Rio Grande do Sul;80 037
412º;3169307;Três Corações; Minas Gerais;80 032
413º;4127106;Telêmaco Borba; Paraná;79 792
414º;3205101;Viana; Espírito Santo;79 500
415º;3519709;Ibiúna; São Paulo;79 479
416º;2930105;Senhor do Bonfim; Bahia;79 424
417º;3171303;Viçosa; Minas Gerais;79 388
418º;4203006;Caçador; Santa Catarina;79 313
419º;2311801;Russas; Ceará;78 882
420º;3527108;Lins; São Paulo;78 503
421º;2208007;Picos; Piauí;78 431
422º;3509205;Cajamar; São Paulo;77 934
423º;3524303;Jaboticabal; São Paulo;77 652
424º;4317509;Santo Ângelo; Rio Grande do Sul;77 568
425º;3506102;Bebedouro; São Paulo;77 555
426º;2302800;Canindé; Ceará;77 244
427º;1505064;Novo Repartimento; Pará;77 214
428º;3539301;Pirassununga; São Paulo;76 877
429º;3306107;Valença; Rio de Janeiro;76 869
430º;2916401;Itapetinga; Bahia;76 795
431º;2601706;Belo Jardim; Pernambuco;76 687
432º;2313401;Tianguá; Ceará;76 537
433º;4317103;Santana do Livramento; Rio Grande do Sul;76 321
434º;5219753;Santo Antônio do Descoberto; Goiás;75 829
435º;3115300;Cataguases; Minas Gerais;75 540
436º;2707701;Rio Largo; Alagoas;75 394
437º;3522604;Itapira; São Paulo;75 234
438º;4204301;Concórdia; Santa Catarina;75 167
439º;2304103;Crateús; Ceará;75 159
440º;2301109;Aracati; Ceará;74 975
441º;2601201;Arcoverde; Pernambuco;74 822
442º;3146107;Ouro Preto; Minas Gerais;74 558
443º;1506708;Santana do Araguaia; Pará;74 419
444º;1505304;Oriximiná; Pará;74 016
445º;2402600;Ceará-Mirim; Rio Grande do Norte;73 886
446º;4317202;Santa Rosa; Rio Grande do Sul;73 575
447º;2914604;Irecê; Bahia;73 524
448º;3512803;Cosmópolis; São Paulo;73 474
449º;2706307;Palmeira dos Índios; Alagoas;73 337
450º;2309607;Pacajus; Ceará;73 188
451º;4307906;Farroupilha; Rio Grande do Sul;73 061
452º;4300406;Alegrete; Rio Grande do Sul;73 028
453º;2102325;Buriticupu; Maranhão;72 983
454º;5205497;Cidade Ocidental; Goiás;72 890
455º;2110005;Santa Luzia; Maranhão;72 887
456º;3501905;Amparo; São Paulo;72 677
457º;2907202;Casa Nova; Bahia;72 545
458º;2303501;Cascavel; Ceará;72 232
459º;3135100;Janaúba; Minas Gerais;72 018
460º;4214805;Rio do Sul; Santa Catarina;72 006
461º;4322608;Venâncio Aires; Rio Grande do Sul;71 973
462º;1506500;Santa Izabel do Pará; Pará;71 837
463º;4104907;Castro; Paraná;71 809
464º;3124104;Esmeraldas; Minas Gerais;71 551
465º;2906006;Campo Formoso; Bahia;71 487
466º;3164704;São Sebastião do Paraíso; Minas Gerais;71 445
467º;5208608;Goianésia; Goiás;71 075
468º;4207502;Indaial; Santa Catarina;70 900
469º;4205902;Gaspar; Santa Catarina;70 793
470º;2104800;Grajaú; Maranhão;70 065
471º;2609907;Ouricuri; Pernambuco;69 969
472º;3515103;Embu-Guaçu; São Paulo;69 901
473º;2516201;Sousa; Paraíba;69 723
474º;2903904;Bom Jesus da Lapa; Bahia;69 662
475º;2802106;Estância; Sergipe;69 556
476º;4202305;Biguaçu; Santa Catarina;69 486
477º;4303905;Campo Bom; Rio Grande do Sul;69 458
478º;1502202;Capanema; Pará;69 431
479º;3515509;Fernandópolis; São Paulo;69 402
480º;2605202;Escada; Pernambuco;69 292
481º;3537602;Peruíbe; São Paulo;69 001
482º;3526803;Lençóis Paulista; São Paulo;68 990
483º;3530508;Mococa; São Paulo;68 980
484º;4201406;Araranguá; Santa Catarina;68 867
485º;2503209;Cabedelo; Paraíba;68 767
486º;2105401;Itapecuru-Mirim; Maranhão;68 723
487º;2305233;Horizonte; Ceará;68 529
488º;2402006;Caicó; Rio Grande do Norte;68 343
489º;2305407;Icó; Ceará;68 162
490º;5213103;Mineiros; Goiás;68 154
491º;3135209;Januária; Minas Gerais;67 852
492º;3126109;Formiga; Minas Gerais;67 822
493º;2610905;Pesqueira; Pernambuco;67 735
494º;5105259;Lucas do Rio Verde; Mato Grosso;67 620
495º;4122404;Rolândia; Paraná;67 383
496º;4208302;Itapema; Santa Catarina;67 338
497º;2904605;Brumado; Bahia;67 335
498º;1501782;Breu Branco; Pará;67 332
499º;1304062;Tabatinga; Amazonas;67 182
500º;2908408;Conceição do Coité; Bahia;67 013
501º;4322509;Vacaria; Rio Grande do Sul;66 575
502º;4303509;Camaquã; Rio Grande do Sul;66 478
503º;2709301;União dos Palmares; Alagoas;65 790
504º;4312401;Montenegro; Rio Grande do Sul;65 721
505º;3137601;Lagoa Santa; Minas Gerais;65 657
506º;2614501;Surubim; Pernambuco;65 647
507º;1503457;Ipixuna do Pará; Pará;65 625
508º;3555000;Tupã; São Paulo;65 570
509º;2103604;Coroatá; Maranhão;65 544
510º;1302900;Maués; Amazonas;65 040
511º;3506359;Bertioga; São Paulo;64 723
512º;3149309;Pedro Leopoldo; Minas Gerais;64 712
513º;2914703;Itaberaba; Bahia;64 646
514º;2915601;Itamaraju; Bahia;64 455
515º;1508001;Tomé-Açu; Pará;64 030
516º;2302602;Camocim; Ceará;63 907
517º;2706703;Penedo; Alagoas;63 846
518º;2208403;Piripiri; Piauí;63 787
519º;1501501;Benevides; Pará;63 768
520º;3537305;Penápolis; São Paulo;63 757
521º;2909802;Cruz das Almas; Bahia;63 591
522º;2610004;Palmares; Pernambuco;63 500
523º;2609402;Moreno; Pernambuco;63 294
524º;2101707;Barreirinhas; Maranhão;63 217
525º;2300200;Acaraú; Ceará;63 104
526º;5107040;Primavera do Leste; Mato Grosso;63 092
527º;1503309;Igarapé-Miri; Pará;63 036
528º;3505906;Batatais; São Paulo;62 980
529º;1505809;Portel; Pará;62 945
530º;3524006;Itupeva; São Paulo;62 813
531º;2503704;Cajazeiras; Paraíba;62 289
532º;4304705;Carazinho; Rio Grande do Sul;62 265
533º;3507001;Boituva; São Paulo;62 170
534º;4318309;São Gabriel; Rio Grande do Sul;62 147
535º;2708600;São Miguel dos Campos; Alagoas;61 797
536º;1508308;Viseu; Pará;61 751
537º;2308708;Morada Nova; Ceará;61 738
538º;2314102;Viçosa do Ceará; Ceará;61 410
539º;3301850;Guapimirim; Rio de Janeiro;61 388
540º;3140001;Mariana; Minas Gerais;61 288
541º;2612208;Salgueiro; Pernambuco;61 249
542º;2301901;Barbalha; Ceará;61 228
543º;5101803;Barra do Garças; Mato Grosso;61 135
544º;4110706;Irati; Paraná;61 088
545º;3533403;Nova Odessa; São Paulo;60 956
546º;2601904;Bezerros; Pernambuco;60 880
547º;2910701;Euclides da Cunha; Bahia;60 858
548º;1508126;Ulianópolis; Pará;60 761
549º;3531803;Monte Mor; São Paulo;60 754
550º;3519600;Ibitinga; São Paulo;60 600
551º;3304300;Rio Bonito; Rio de Janeiro;60 573
552º;1502939;Dom Eliseu; Pará;60 469
553º;3530300;Mirassol; São Paulo;60 303
554º;5206206;Cristalina; Goiás;60 210
555º;2928604;Santo Amaro; Bahia;60 131
556º;2613008;São Bento do Una; Pernambuco;60 042
557º;2203909;Floriano; Piauí;60 025
558º;4318002;São Borja; Rio Grande do Sul;60 019
559º;3127107;Frutal; Minas Gerais;60 012
560º;4306106;Cruz Alta; Rio Grande do Sul;59 922
561º;2307601;Limoeiro do Norte; Ceará;59 890
562º;3152105;Ponte Nova; Minas Gerais;59 875
